                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.0617,                0.56213,                0.92453,                0.92987,                0.97017,                0.96828,                0.57558,                 1.3716,                0.63475,                0.99467,              0.0004688,              0.0004688,              0.0004688
                     60,                 1.0265,                0.54744,                0.90936,                0.94982,                 0.9878,                0.97965,                 0.5735,                 1.3875,                0.63886,                 1.0072,              0.0004424,              0.0004424,              0.0004424
                     61,                 1.0546,                 0.5533,                0.90637,                0.94943,                 0.9878,                0.98963,                 0.5795,                 1.4035,                0.64424,                  1.017,               0.000416,               0.000416,               0.000416
                     62,                 1.0552,                0.55054,                0.92877,                0.97582,                 0.9843,                0.99209,                0.60293,                 1.4047,                0.65198,                 1.0179,              0.0003896,              0.0003896,              0.0003896
                     63,                 1.0575,                0.56428,                0.91586,                0.95922,                0.97561,                0.98677,                  0.599,                 1.3948,                0.64019,                0.99368,              0.0003632,              0.0003632,              0.0003632
                     64,                 1.0464,                0.53763,                0.93389,                0.96547,                0.96341,                0.98613,                0.60202,                 1.3748,                0.61198,                0.99291,              0.0003368,              0.0003368,              0.0003368
                     65,                  1.115,                0.57024,                0.94615,                0.95076,                0.97561,                0.98364,                0.59993,                 1.3443,                0.61065,                0.99674,              0.0003104,              0.0003104,              0.0003104
                     66,                 1.0748,                0.53799,                0.94469,                0.95832,                0.97561,                0.97911,                0.59897,                 1.3251,                0.61846,                  1.004,               0.000284,               0.000284,               0.000284
                     67,                 1.1066,                0.56379,                0.95025,                0.95997,                 0.9878,                0.99136,                0.59676,                 1.3228,                0.62705,                 1.0052,              0.0002576,              0.0002576,              0.0002576
                     68,                 1.0733,                0.55499,                0.93183,                0.97217,                 0.9878,                0.99042,                0.58711,                 1.3319,                0.63733,                 1.0068,              0.0002312,              0.0002312,              0.0002312
                     69,                 1.1071,                0.56279,                0.94273,                 0.9639,                0.97685,                 0.9891,                0.57743,                 1.3503,                0.63868,                 1.0101,              0.0002048,              0.0002048,              0.0002048
                     70,                 1.0834,                0.54305,                0.93271,                0.96407,                0.98164,                 0.9875,                0.57233,                 1.3421,                0.64401,                 1.0081,              0.0001784,              0.0001784,              0.0001784
                     71,                 1.0826,                0.55189,                0.92407,                 0.9667,                0.97561,                0.98599,                0.58177,                 1.3296,                0.63464,                 1.0082,               0.000152,               0.000152,               0.000152
                     72,                 1.0482,                0.53766,                0.92103,                0.97894,                0.97561,                0.99003,                0.57716,                 1.3246,                 0.6402,                 1.0056,              0.0001256,              0.0001256,              0.0001256
                     73,                 1.0618,                0.55387,                0.92824,                0.96393,                0.97764,                0.98957,                0.58384,                 1.3178,                0.63308,                 1.0026,               9.92e-05,               9.92e-05,               9.92e-05
                     74,                 1.0882,                0.54678,                0.94147,                0.95218,                0.97141,                0.97369,                0.58995,                 1.3151,                0.62553,                 1.0012,               7.28e-05,               7.28e-05,               7.28e-05
