                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.52303,                0.28578,                0.80134,                0.84416,                0.75025,                0.79401,                0.65203,                0.61204,                0.40299,                0.81893,              0.0001189,              0.0001189,              0.0001189
                     91,                0.51924,                0.28668,                0.79721,                 0.8121,                0.75674,                0.78506,                 0.6485,                0.60721,                 0.4034,                0.81565,               0.000109,               0.000109,               0.000109
                     92,                0.51254,                0.28078,                0.79716,                0.79235,                 0.7915,                0.78102,                0.64605,                0.60546,                0.40512,                0.81534,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.51057,                0.27701,                0.79521,                0.77835,                0.76898,                0.79698,                0.65654,                0.61063,                0.40109,                0.81591,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.50563,                 0.2735,                0.79886,                0.78278,                0.80818,                0.79935,                0.65326,                0.60656,                0.40374,                0.81571,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.50068,                0.26658,                0.79717,                0.79848,                0.78042,                0.78591,                0.64302,                0.60608,                0.40427,                0.81627,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.49327,                0.26821,                0.79591,                0.81588,                0.78095,                0.78592,                0.64315,                0.61021,                0.40346,                0.81647,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.49195,                0.26189,                0.79515,                 0.8202,                0.78226,                0.78916,                0.64953,                0.60846,                0.40275,                0.81636,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.48387,                0.26237,                0.79258,                0.78516,                0.79427,                0.78803,                0.64613,                  0.608,                0.40184,                0.81689,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.49464,                0.26096,                0.79356,                0.81791,                0.77221,                0.79295,                0.65161,                0.60732,                0.40103,                0.81641,               2.98e-05,               2.98e-05,               2.98e-05
